customerid,domestic,recency_score,frequency_score,monetary_score,cust_matrix
17841,True,3,3,3,star_cust
14911,False,3,3,3,star_cust
14096,True,3,3,3,star_cust
12748,True,3,3,3,star_cust
14606,True,3,3,3,star_cust
15311,True,3,3,3,star_cust
14646,False,3,3,3,star_cust
13089,True,3,3,3,star_cust
13263,True,3,3,3,star_cust
14298,True,3,3,3,star_cust
15039,True,3,3,3,star_cust
14156,False,3,3,3,star_cust
18118,True,3,3,3,star_cust
14159,True,3,3,3,star_cust
14796,True,3,3,3,star_cust
15005,True,3,3,3,star_cust
16033,True,3,3,3,star_cust
14056,True,3,3,3,star_cust
573585,True,2,2,3,problem_cust
14769,True,3,3,3,star_cust
17511,True,3,3,3,star_cust
13081,True,3,3,3,star_cust
16549,True,3,3,3,star_cust
14456,True,3,3,3,star_cust
14527,True,3,3,3,star_cust
15719,True,2,3,3,problem_cust
15555,True,3,3,3,star_cust
16931,True,3,3,3,star_cust
17811,True,3,3,3,star_cust
14505,True,3,3,3,star_cust
12415,False,2,3,3,problem_cust
18283,True,3,3,3,star_cust
17338,True,3,3,3,star_cust
581219,True,3,2,3,new_cust
12921,True,3,3,3,star_cust
17757,True,3,3,3,star_cust
581492,True,3,2,3,new_cust
17675,True,3,3,3,star_cust
15159,True,3,3,3,star_cust
580729,True,3,2,3,new_cust
16764,True,3,3,3,star_cust
16904,True,3,3,3,star_cust
13137,True,3,3,3,star_cust
558475,True,1,2,3,lost_cust
15547,True,3,3,3,star_cust
16923,True,3,3,3,star_cust
17920,True,3,3,3,star_cust
17735,True,3,3,3,star_cust
579777,True,3,2,3,new_cust
581217,True,3,2,3,new_cust
537434,True,1,1,3,lost_cust
15529,True,3,3,3,star_cust
16360,True,3,3,3,star_cust
16729,True,2,3,3,problem_cust
16241,True,3,3,3,star_cust
580730,True,3,2,3,new_cust
15856,True,3,3,3,star_cust
538071,True,1,1,3,lost_cust
580367,True,3,2,3,new_cust
580115,True,3,2,3,new_cust
581439,True,3,2,3,new_cust
13969,True,3,3,3,star_cust
16713,True,3,3,3,star_cust
14502,True,3,3,3,star_cust
580983,True,3,2,3,new_cust
12681,False,3,3,3,star_cust
578344,True,3,2,3,new_cust
538349,True,1,1,3,lost_cust
13230,True,3,3,3,star_cust
14415,True,3,3,3,star_cust
13098,True,3,3,3,star_cust
578347,True,3,2,3,new_cust
14194,True,3,3,3,star_cust
537638,True,1,1,3,lost_cust
537237,True,1,1,3,lost_cust
536876,True,1,1,3,lost_cust
576617,True,2,2,3,problem_cust
536592,True,1,1,3,lost_cust
14088,True,3,3,3,star_cust
537823,True,1,1,3,lost_cust
16686,True,2,3,3,problem_cust
576837,True,3,2,3,new_cust
13694,True,3,3,3,star_cust
17611,True,3,3,3,star_cust
579508,True,3,2,3,new_cust
14667,True,3,3,3,star_cust
577078,True,3,2,3,new_cust
537240,True,1,1,3,lost_cust
17238,True,3,3,3,star_cust
17602,True,3,3,3,star_cust
15023,True,3,3,3,star_cust
15358,True,3,3,3,star_cust
577358,True,3,2,3,new_cust
15993,True,3,3,3,star_cust
14534,True,3,3,3,star_cust
576618,True,2,2,3,problem_cust
12867,True,2,3,3,problem_cust
17337,True,1,3,3,lost_cust
16910,True,3,3,3,star_cust
15861,True,3,3,3,star_cust
17231,True,3,3,3,star_cust
576840,True,3,2,3,new_cust
579187,True,3,2,3,new_cust
537666,True,1,1,3,lost_cust
538177,True,1,1,3,lost_cust
14367,True,3,3,3,star_cust
536544,True,1,1,3,lost_cust
578844,True,3,2,3,new_cust
575930,True,2,2,3,problem_cust
577768,True,3,2,3,new_cust
15356,True,2,3,3,problem_cust
578827,True,3,2,3,new_cust
15498,True,3,3,3,star_cust
575176,True,2,2,3,problem_cust
539437,True,1,1,3,lost_cust
576329,True,2,2,3,problem_cust
17059,True,2,3,3,problem_cust
575477,True,2,2,3,problem_cust
15033,True,3,3,3,star_cust
539958,True,1,1,3,lost_cust
12471,False,3,3,3,star_cust
15998,True,2,3,3,problem_cust
14895,True,3,3,3,star_cust
14049,True,3,3,3,star_cust
17346,True,3,3,3,star_cust
575875,True,2,2,3,problem_cust
579512,True,3,2,3,new_cust
16161,True,3,3,3,star_cust
13668,True,3,3,3,star_cust
540551,True,1,1,3,lost_cust
14730,True,3,3,3,star_cust
13319,True,3,3,3,star_cust
12682,False,3,3,3,star_cust
15640,True,3,3,3,star_cust
578065,True,3,2,3,new_cust
13408,True,3,3,3,star_cust
538524,True,1,1,3,lost_cust
17954,True,3,3,3,star_cust
17139,True,3,3,3,star_cust
559055,True,1,2,3,lost_cust
578067,True,3,2,3,new_cust
17315,True,3,3,3,star_cust
575739,True,2,2,3,problem_cust
15021,True,3,3,3,star_cust
16558,True,3,3,3,star_cust
18041,True,3,3,3,star_cust
538566,True,1,1,3,lost_cust
18069,True,2,3,3,problem_cust
17220,True,2,3,3,problem_cust
13069,True,3,3,3,star_cust
17365,True,3,3,3,star_cust
12540,False,3,3,3,star_cust
559052,True,1,2,3,lost_cust
539434,True,1,1,3,lost_cust
15044,True,3,3,3,star_cust
15867,True,3,3,3,star_cust
540848,True,1,1,3,lost_cust
13018,True,3,3,3,star_cust
539453,True,1,1,3,lost_cust
12621,False,3,3,3,star_cust
12567,False,3,3,3,star_cust
541421,True,1,1,3,lost_cust
18109,True,3,3,3,star_cust
17581,True,3,3,3,star_cust
16746,True,3,3,3,star_cust
15078,True,3,3,3,star_cust
14085,True,3,3,3,star_cust
16813,True,3,3,3,star_cust
560772,True,1,2,3,lost_cust
13268,True,3,3,3,star_cust
16712,True,3,3,3,star_cust
14562,True,3,3,3,star_cust
13451,True,2,3,3,problem_cust
560434,True,1,2,3,lost_cust
12474,False,3,3,3,star_cust
539451,True,1,1,3,lost_cust
13798,True,3,3,3,star_cust
12841,True,3,3,3,star_cust
